code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.156122.3', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.472342.4', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.415506.3', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.473733.7', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.419334.8', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.414158.d', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.450004.5', 'relationship_type': 'Child', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
code=409 body={'acronym': 'UOW', 'city': 'Wollongong', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1951, 'geonames_city_id': 2171507, 'grid_id': 'grid.1007.6', 'lat': -34.405147, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.uow.edu.au/index.html', 'lng': 150.878387, 'name': 'University of Wollongong', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460806.c', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Wollongong', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1007.6'}
code=409 body={'acronym': 'UOW', 'city': 'Wollongong', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1951, 'geonames_city_id': 2171507, 'grid_id': 'grid.1007.6', 'lat': -34.405147, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.uow.edu.au/index.html', 'lng': 150.878387, 'name': 'University of Wollongong', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.417154.2', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Wollongong', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1007.6'}
code=409 body={'acronym': 'UOW', 'city': 'Wollongong', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1951, 'geonames_city_id': 2171507, 'grid_id': 'grid.1007.6', 'lat': -34.405147, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.uow.edu.au/index.html', 'lng': 150.878387, 'name': 'University of Wollongong', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.444532.0', 'relationship_type': 'Child', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Wollongong', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1007.6'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1853, 'geonames_city_id': 2158177, 'grid_id': 'grid.1008.9', 'lat': -37.797115, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.unimelb.edu.au/', 'lng': 144.959972, 'name': 'University of Melbourne', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.414094.c', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Melbourne', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1008.9'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1853, 'geonames_city_id': 2158177, 'grid_id': 'grid.1008.9', 'lat': -37.797115, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.unimelb.edu.au/', 'lng': 144.959972, 'name': 'University of Melbourne', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.431365.6', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Melbourne', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1008.9'}
